age,income,family_size,employed,education,marital_status,race,hicoverage
56,42019,0,1,42,5,1,1
58,70060,0,1,42,5,1,1
56,72750,1,1,44,1,1,1
57,91425,1,1,43,1,1,1
24,92062,1,1,40,7,1,1
21,21000,1,1,40,7,1,1
32,64823,1,1,39,1,1,1
29,25260,1,1,39,1,1,1
9,0,1,0,0,7,1,1
5,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
59,36001,1,5,40,5,1,1
24,24001,1,1,40,7,1,1
58,26005,0,1,39,7,1,2
62,13979,0,6,39,7,1,1
73,92296,0,1,42,7,1,1
25,42015,0,1,44,7,1,1
27,62020,0,1,40,7,1,1
80,28503,1,5,40,1,7,1
74,52310,1,5,39,1,1,1
75,51379,1,1,38,1,1,1
77,14100,1,5,36,1,1,1
31,60810,0,1,44,7,1,1
32,199453,0,1,44,7,1,1
8,0,0,0,0,7,1,1
44,48000,1,1,40,5,1,1
15,0,1,7,34,7,2,1
18,6804,1,1,39,7,1,1
50,46000,1,1,41,7,1,1
48,75001,0,1,39,3,8,1
44,36060,0,1,41,7,1,1
36,67006,1,1,40,1,1,1
28,10000,1,1,40,1,1,1
7,0,1,0,0,7,1,1
5,0,1,0,0,7,1,1
69,88221,0,5,43,7,1,1
85,77566,0,5,44,7,1,1
29,40842,1,1,43,1,1,1
28,40006,1,1,43,1,1,1
72,35276,0,5,43,5,1,1
54,22350,0,1,41,5,1,1
80,46182,0,1,39,4,1,1
75,73702,0,5,44,5,1,1
78,40404,1,5,43,1,1,1
74,3750,1,5,43,1,1,1
57,85255,0,1,43,5,1,1
69,58423,0,5,44,4,1,1
60,11317,1,5,40,1,1,1
60,13213,1,5,40,1,1,1
23,108001,0,1,43,7,1,1
72,13535,0,5,40,5,1,1
85,15706,1,5,40,1,1,1
70,30380,1,5,43,1,1,1
63,34200,1,5,39,4,1,1
40,2000,1,1,39,7,1,1
85,42302,1,5,40,4,1,1
42,3840,1,1,41,7,1,1
24,28000,1,1,43,7,1,1
67,221630,1,1,39,1,1,1
66,10548,1,7,39,1,1,1
80,19069,0,5,39,4,1,1
77,14000,1,1,39,4,1,1
55,16000,2,1,39,7,1,1
13,0,2,0,0,7,1,1
48,81079,1,1,44,5,1,1
13,0,1,0,0,7,1,1
68,37192,1,5,39,1,1,1
76,340079,1,1,42,1,1,1
54,9900,0,6,36,3,1,1
23,56007,1,2,39,1,1,1
23,13007,1,1,39,1,1,1
31,154300,1,1,43,1,1,1
35,15001,1,1,39,1,1,1
38,25000,0,1,39,7,7,1
40,71000,0,1,39,7,7,1
32,38001,0,1,39,7,1,2
32,51093,1,1,42,7,1,1
12,0,1,0,0,7,1,1
32,26001,1,1,36,1,1,1
32,20101,1,1,39,1,1,1
12,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
85,51422,1,5,43,1,1,1
80,11271,1,5,39,1,1,1
60,28824,1,1,40,5,1,1
39,1,1,7,39,7,1,1
56,39640,0,1,36,7,1,1
32,16205,0,1,36,7,2,1
25,45000,0,1,43,7,1,1
25,35000,0,1,39,7,1,2
50,88240,1,1,43,1,1,1
49,70220,1,1,42,1,1,1
20,25006,1,7,39,7,1,1
13,0,1,0,0,7,1,1
53,62758,1,1,41,7,7,1
50,12001,1,6,39,7,7,1
45,19427,1,6,39,7,1,1
15,0,1,7,34,7,1,1
41,10000,1,7,43,1,1,1
41,164000,1,1,41,1,1,1
12,0,1,0,0,7,1,1
9,0,1,0,0,7,1,1
85,22800,0,5,39,4,1,1
65,500,1,5,40,1,1,1
57,24000,1,1,43,1,1,1
37,62000,1,1,43,7,1,1
55,25000,1,1,43,1,1,1
57,398521,1,1,43,1,1,1
26,360005,1,1,40,7,1,1
18,100003,1,1,37,7,1,1
42,66268,1,1,44,1,1,1
39,62775,1,1,44,1,1,1
7,0,1,0,0,7,1,1
3,0,1,0,0,7,1,1
2,0,1,0,0,7,1,1
66,55000,1,1,43,5,1,1
21,16800,1,1,37,7,1,1
20,28030,1,1,39,7,1,1
55,15050,1,7,45,1,1,1
59,358219,1,1,44,1,1,1
16,11,1,7,35,7,1,1
12,0,1,0,0,7,2,1
61,102650,0,1,44,4,1,1
53,20004,1,1,43,1,1,1
63,9002,1,5,43,1,1,1
72,5439,1,5,42,1,1,1
67,16801,1,6,37,1,1,1
36,52000,1,1,40,4,1,1
14,0,1,0,0,7,1,1
49,70382,0,7,40,5,1,1
55,121342,1,1,41,1,1,1
55,101252,1,1,43,1,1,1
73,165000,1,1,35,1,1,1
74,0,1,5,43,1,1,1
44,87501,1,1,39,1,1,1
42,0,1,7,39,1,1,1
18,35000,1,1,39,7,1,1
17,3000,1,1,36,7,1,1
13,0,1,0,0,7,1,1
8,0,1,0,0,7,1,1
41,54747,1,1,43,1,1,1
43,22002,1,1,43,1,1,1
13,0,1,0,0,7,1,1
11,0,1,0,0,7,1,1
38,140500,1,1,44,1,1,1
36,0,1,7,43,1,1,1
13,0,1,0,0,7,1,1
11,0,1,0,0,7,1,1
8,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
61,49760,1,5,41,1,1,1
63,50725,1,5,41,1,1,1
75,41605,0,5,39,5,1,1
76,35920,1,5,44,1,1,1
78,22388,1,5,39,1,4,1
68,45238,0,6,40,7,1,1
55,60488,1,5,40,1,1,1
55,22980,1,5,39,1,1,1
75,39367,1,1,43,1,1,1
75,112,1,1,39,1,1,1
85,24384,1,5,39,4,1,1
58,40003,1,2,39,1,1,1
64,82003,1,7,39,1,1,1
27,50000,0,1,39,7,1,1
19,18000,0,1,39,7,1,1
64,65074,0,1,44,7,1,1
67,92045,1,1,42,1,1,1
68,52520,1,2,39,1,1,1
71,44505,0,1,43,7,1,1
66,15323,0,6,41,5,1,1
78,76681,0,5,39,4,1,1
41,58011,1,1,43,1,1,1
54,100461,1,1,39,1,1,1
4,0,1,0,0,7,1,1
74,87812,0,1,45,3,1,1
79,22056,1,5,44,1,1,1
76,22285,1,5,39,1,1,1
65,66777,1,1,39,1,1,1
63,13505,1,1,39,1,1,1
25,72630,1,1,43,7,1,1
54,152000,1,1,44,4,1,1
20,5377,1,7,40,7,1,1
72,41011,0,5,40,5,1,1
64,13719,0,5,40,7,1,2
76,38401,0,5,39,4,1,1
37,15000,1,1,39,1,1,2
47,0,1,4,39,1,1,2
18,0,1,7,37,7,1,2
11,0,1,0,0,7,1,2
50,66310,1,1,43,1,1,1
38,48096,1,1,43,1,1,1
2,0,1,0,0,7,1,1
37,116025,1,1,44,1,1,1
36,57873,1,1,43,1,1,1
12,0,1,0,0,7,1,1
10,0,1,0,0,7,1,1
67,86855,0,1,41,7,1,1
77,32642,0,5,39,5,1,1
54,50849,1,1,42,1,1,1
55,43000,1,1,43,1,1,1
45,59007,0,1,40,7,1,2
56,1,0,5,39,7,1,2
68,22200,1,5,40,1,1,1
73,24789,1,5,40,1,1,1
80,20837,0,5,39,4,1,1
85,22440,0,5,36,4,1,1
51,133514,0,1,44,4,1,1
60,110000,0,1,46,4,1,1
37,75300,1,1,43,1,1,1
34,49600,1,1,40,1,1,1
85,23053,0,5,34,4,1,1
80,14581,1,5,37,1,1,1
80,26581,1,5,39,1,1,1
58,250050,1,1,44,1,1,1
55,31050,1,1,42,1,1,1
40,62402,1,1,39,1,1,1
37,49402,1,1,39,1,1,1
19,30801,1,1,39,7,1,1
14,0,1,0,0,7,1,1
50,30007,1,1,43,1,1,1
46,301615,1,1,43,1,1,1
51,60104,1,1,40,1,1,1
51,12779,1,7,39,1,1,1
78,64572,1,1,42,1,4,1
69,108677,1,1,44,1,1,1
35,50810,1,1,43,7,8,1
39,5505,1,1,43,1,1,1
41,30000,1,1,34,1,1,1
10,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
79,30083,0,5,39,4,1,1
23,24000,0,1,40,7,1,1
64,52800,0,5,43,5,1,1
56,92250,1,1,39,1,1,1
55,22006,1,1,39,1,1,1
27,83000,1,1,39,1,1,2
34,75000,1,1,40,1,1,2
12,0,1,0,0,7,1,1
2,0,1,0,0,7,1,1
73,61501,0,5,44,5,1,1
59,82800,1,1,39,1,1,1
59,48001,1,1,39,1,1,1
41,52628,1,1,43,5,1,1
12,0,1,0,0,7,1,1
25,44405,0,1,39,7,1,2
64,97699,0,5,40,4,1,1
66,15545,0,5,33,4,4,1
80,11174,1,5,39,1,1,1
85,23160,1,5,39,1,1,1
25,60070,0,1,40,7,1,1
66,43216,1,5,39,1,1,1
80,39377,1,5,39,1,1,1
50,142042,1,1,41,5,1,1
16,11940,1,1,35,7,1,1
68,25322,1,5,40,1,1,1
63,24575,1,5,39,1,1,1
20,7001,1,4,39,7,1,2
50,10150,2,1,43,1,1,1
40,15000,2,1,43,1,1,1
7,0,2,0,0,7,1,1
23,65042,0,7,40,7,7,2
51,63000,1,1,43,1,1,1
53,24000,1,1,41,1,1,1
22,32750,1,1,39,7,1,1
16,0,1,7,34,7,1,1
48,250000,1,1,44,1,1,1
47,190250,1,1,44,1,1,1
17,14000,1,1,37,7,1,1
36,51010,1,1,43,1,1,1
36,72010,1,1,41,1,1,1
11,0,1,0,0,7,1,1
10,0,1,0,0,7,1,1
10,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
24,46001,0,1,43,7,2,1
26,39000,0,1,43,7,2,1
37,53846,1,1,43,1,1,1
41,55720,1,1,39,1,1,1
11,0,1,0,0,7,1,1
8,0,1,0,0,7,1,1
63,2505,1,5,39,1,1,1
66,26831,1,5,40,1,1,1
36,75774,1,1,43,1,1,1
38,150001,1,1,44,1,1,1
42,60013,1,1,39,1,1,1
42,53413,1,1,42,1,1,1
16,0,1,4,35,7,1,1
11,0,1,0,0,7,1,1
33,60000,0,1,39,7,7,1
40,68000,0,1,39,7,1,1
45,209796,0,1,40,7,1,1
55,93725,1,1,43,1,1,1
52,119025,1,1,43,1,1,1
24,11093,1,7,39,7,1,1
22,15005,1,1,40,7,1,1
21,11093,1,6,37,7,1,1
11,0,0,0,0,7,1,1
28,68275,1,1,43,1,1,1
28,83033,1,1,44,1,1,1
57,142003,1,1,42,4,1,1
33,42802,1,1,39,7,1,2
5,0,1,0,0,7,1,1
54,60001,0,1,39,4,1,1
80,37752,0,5,39,5,1,1
59,50402,1,5,40,1,1,1
69,4802,1,5,39,1,1,1
44,212800,1,1,46,1,4,1
51,210800,1,1,46,1,4,1
12,0,1,0,0,7,4,1
50,18050,1,1,43,3,1,1
18,2010,1,7,37,7,1,1
16,0,1,7,35,7,1,1
51,15000,0,6,41,5,1,1
85,42792,0,5,39,4,1,1
80,15000,1,5,38,1,1,1
78,10002,1,5,39,1,1,1
63,125000,1,1,39,5,1,1
18,3501,1,7,37,7,1,1
60,95000,0,1,39,5,1,1
85,33160,0,5,35,4,1,1
49,22679,0,6,43,7,1,1
40,116120,0,1,39,7,1,1
45,96051,1,1,39,1,1,1
30,31100,1,1,39,1,1,1
7,0,1,0,0,7,1,1
70,66800,1,1,43,1,1,1
62,16800,1,1,43,1,1,1
44,24775,0,1,43,7,1,2
24,5000,0,1,43,7,4,2
54,58321,1,1,43,1,1,1
54,109927,1,1,43,1,1,1
59,11316,0,5,43,4,1,1
62,67768,1,1,40,1,1,1
62,38451,1,2,39,1,1,1
62,58905,0,7,43,4,1,1
50,41081,0,1,43,7,1,1
52,100704,1,1,43,5,1,1
15,1,1,1,35,6,1,1
58,25861,0,6,43,5,1,1
43,149600,0,1,44,6,1,1
39,48702,1,1,42,1,1,1
38,70001,1,1,39,1,1,1
7,0,1,0,0,7,1,1
4,0,1,0,0,7,1,1
40,200100,1,1,44,1,1,1
40,162850,1,1,43,1,1,1
2,0,1,0,0,7,1,1
0,0,1,0,0,7,1,0
73,27745,0,5,43,4,1,1
47,241401,1,1,43,1,1,1
46,41307,1,1,44,1,1,1
12,0,1,0,0,7,1,1
7,0,1,0,0,7,1,1
63,100025,0,5,39,3,1,1
80,25200,1,5,38,1,1,1
80,14920,1,5,38,1,1,1
75,48017,1,5,39,1,1,1
63,126389,1,1,44,1,1,1
57,80428,0,1,44,5,1,1
61,23026,0,1,44,4,1,1
22,60000,0,1,40,7,1,1
31,46150,0,1,43,7,1,1
40,190885,1,1,43,1,1,1
38,69811,1,1,44,1,1,1
13,0,1,0,0,7,1,1
5,0,1,0,0,7,1,1
54,61587,0,1,39,7,1,2
30,99600,1,1,46,1,8,1
30,79250,1,1,43,1,1,1
0,0,1,0,0,7,8,1
80,12200,1,5,39,1,1,1
80,106553,1,5,39,1,1,1
80,55427,1,5,39,1,1,1
71,23114,1,5,39,1,1,1
34,42030,1,1,43,1,1,1
33,90001,1,1,46,1,1,1
1,0,1,0,0,7,1,1
51,40000,0,1,39,7,2,2
60,118873,0,1,43,7,1,1
67,55222,0,1,43,5,1,1
63,99202,1,1,43,1,1,1
65,156000,1,1,43,1,1,1
45,224056,1,1,44,5,1,1
10,0,1,0,0,7,1,1
7,0,1,0,0,7,1,1
59,350148,1,1,46,1,4,1
66,123851,1,1,46,1,4,1
59,190903,0,1,43,4,1,1
48,200853,1,1,44,1,1,1
78,65025,1,1,44,1,1,1
18,7550,1,7,40,7,1,1
16,1000,1,7,36,7,1,1
14,0,1,0,0,7,1,1
12,0,1,0,0,7,1,1
72,12960,1,5,44,1,1,1
75,12790,1,5,39,1,1,1
16,26,1,7,35,7,1,1
67,50377,0,5,40,5,1,1
38,5469,1,6,39,1,1,1
34,42994,1,1,39,1,1,1
12,0,1,0,0,7,1,1
66,98140,0,1,44,7,1,1
26,70000,0,1,39,7,1,1
63,20007,0,5,39,7,1,1
36,0,1,7,40,1,1,1
39,35010,1,1,40,1,1,1
53,83010,0,1,39,7,1,1
49,176200,1,2,43,1,1,1
48,77499,1,7,43,1,1,1
18,12000,1,7,36,7,1,1
16,1075,1,7,35,7,1,1
13,0,1,0,0,7,1,1
59,86384,1,1,44,1,1,1
61,205959,1,1,46,1,1,1
55,22200,1,6,40,1,1,1
48,32800,1,2,43,1,1,1
17,2300,1,7,36,7,1,1
14,0,1,0,0,7,1,1
7,0,1,0,0,7,1,1
6,0,1,0,0,7,1,1
2,0,0,0,0,7,1,1
2,0,0,0,0,7,1,1
50,60100,1,1,43,1,1,1
48,95400,1,1,43,1,1,1
3,0,1,0,0,7,1,1
80,0,0,5,33,4,2,1
70,11532,1,5,37,1,1,1
77,10812,1,6,39,1,3,1
37,75762,1,1,44,1,1,1
36,60533,1,1,46,1,1,1
4,0,1,0,0,7,1,1
4,0,1,0,0,7,1,1
45,25000,1,1,39,5,1,1
15,1,1,7,34,7,1,1
14,0,1,0,0,7,1,1
2,0,1,0,0,7,1,1
85,21432,1,5,39,4,1,1
31,0,1,7,39,7,1,1
39,0,2,6,39,7,1,1
1,0,2,0,0,7,1,1
65,23114,1,5,39,1,4,1
69,46299,1,5,39,1,1,1
71,64311,1,5,43,1,1,1
71,72050,1,5,43,1,1,1
73,85547,1,5,46,1,1,1
76,132979,1,5,43,1,1,1
66,61623,1,5,41,1,1,1
63,34345,1,5,36,1,1,1
49,49097,1,1,39,1,1,1
50,51095,1,1,39,1,1,1
61,103438,0,1,43,5,1,1
67,195031,1,1,39,1,1,1
60,22002,1,1,40,1,1,1
21,6032,1,1,39,7,1,1
47,12000,1,1,39,1,1,1
29,70101,1,1,39,1,1,1
9,0,1,0,0,7,4,1
8,0,1,0,0,7,1,1
43,145150,1,1,43,1,1,1
42,96041,1,1,44,1,1,1
1,0,1,0,0,7,1,1
63,15894,0,5,41,3,1,1
44,35060,1,1,39,1,1,2
38,2,1,7,39,1,1,2
10,0,1,0,0,7,1,2
85,18060,0,5,39,4,1,1
22,55023,0,1,39,7,1,1
23,20001,0,1,39,7,1,1
70,74002,1,5,44,1,1,1
68,31300,1,5,44,1,1,1
80,14435,0,5,39,5,1,1
54,42002,0,1,39,7,1,1
46,1099999,1,1,40,6,1,1
16,0,1,7,35,7,1,1
44,1100099,0,1,44,3,1,1
85,8088,0,5,39,4,1,1
79,15841,0,5,39,4,1,1
52,8601,1,7,44,1,1,1
51,393550,1,1,43,1,1,1
19,0,1,7,39,7,1,1
19,0,1,7,39,7,1,1
43,94919,1,0,43,1,1,1
48,282,1,7,43,2,1,1
13,0,1,0,0,7,1,1
49,110205,1,2,39,1,1,1
51,106150,1,1,40,1,1,1
31,68000,1,7,40,3,7,1
74,117415,1,5,43,1,1,1
71,16397,1,5,40,1,1,1
77,13535,0,5,40,5,1,1
75,50228,1,5,40,1,1,1
74,47753,1,5,43,1,1,1
85,25044,0,5,44,5,1,1
72,25884,1,5,35,4,1,1
46,9600,1,6,37,6,1,1
34,24313,1,1,39,7,6,1
12,0,1,0,0,7,6,1
34,40003,0,1,39,7,1,1
